id,name
cfdc3728-869e-4fcf-a3c3-dfa3d20d8079,type 1 diabetes
a271bb99-596a-400b-9f8f-52ba84fab1aa,type 2 diabetes
2ea94f0c-63ea-46c0-9285-90c2d84ec955,arthritis
a4d11176-8cc8-46ce-b109-183628a0445f,cancer
f9dca0bc-6848-4996-ba7a-1326184fcd7b,parkinson's disease
8d6aac77-51f0-474d-bfab-1653d1824252,chronic obstructory pulonary disease
68c2d8b6-a939-462f-8ee5-e3d6be6bcff1,asthma
e0aac067-07cc-4691-83f0-6ae50a7e928b,depression
e729093d-6a0d-4621-ab08-e6c1a9fd7df5,hypertension
3eec75c2-9cba-4465-b27b-e4f6dedffe71,coronary artery disease
85773e92-f04a-4d37-bf08-0eee2adccc67,obesity
3e852b1e-844c-4234-9800-6e18438c3705,hiv/aids
bd4eae2b-c5da-4c50-bd3a-2155f44a55b5,osteoperosis
