id,name
adfab44d-a52d-4ff7-ba7a-38c2fba22323,neck
222c26e5-5dd5-42c4-a2b6-a6fadde4081a,trapezius
ea5fec56-a5b5-4c96-8ddc-7b5dfc2728bd,deltoids
9f212853-b22f-4693-930d-38980555b3c1,pectorals
decb4259-ca54-434b-b5cc-53308600be89,biceps
5dc1b708-5229-42af-a5e9-bce27f5f7fbc,triceps
da8ee784-7cff-48b6-a0ac-bc8645a860ab,forearms
ec3846d6-2183-40d9-83ef-0344c73db72c,lats
47ed4137-bc7b-4266-90df-d0b1dccd88ab,lower back
f254b3b5-7b7a-44ac-a32b-dfb2385da4a7,abdominals
ed2182a0-9dfc-40eb-9984-b44d6e2ec609,obliques
163fdc69-fa09-4868-92f7-8de7f9f2750d,quadriceps
fce686bb-5890-4e37-a80f-32d8af70f27b,glutes
0dcc1b4e-2d56-48e9-a042-a3714a2d0bf0,hamstrings
c020faae-827e-4b63-8050-918c11d8f6e1,calves
0e0c0ae5-152e-496c-a154-9f12200f6e85,cardio
