id,name
5ed45e61-e356-4316-bb9b-150e6899b2de,lower back
9a0563ea-6571-40fa-8dc2-63cb7c496a3f,upper back
bd8e8bbe-2172-4741-ae14-4523019ae1b9,waist
5436cd45-508f-4a84-81ab-96c311908409,chest
363d9f67-bf48-4798-91a5-f99f56797d52,lower arms
cac09f7a-cf63-4c57-ba9b-09a9b9758918,lower legs
e44a3f6c-d6c2-4e4b-8fac-7df426673131,neck
e32d1067-5e7b-4da2-b07f-4b971525eb05,shoulders
393ac206-12dc-40bd-a203-69fd4f9f9c8d,upper arms
7900dfd2-a060-4aad-958d-78607b04420e,upper legs
44b93ffc-1f70-46fb-b007-c9d2484fea83,abs
6464040d-c87d-472a-937c-0b498f09f4c4,waist
9bcfb8e8-d2e4-4a70-a846-7295404fc9f3,cardio
