id,name
0e6393ae-3406-4ba5-b08d-ca7cff0e09c4,bands
f311b1d8-2063-4a56-8eec-0346fa7f4302,barbell
9152c9f1-37d7-4e02-be9a-1ad6ac145c91,bench
8b002455-340e-40b9-b806-2694e94eb582,body only
13a0d083-f8b5-472c-a6c2-2cddb818470a,dumbbell
eb74b098-7f67-43bd-a3ae-fe2a28823a9c,exercise ball
2a7b0831-147a-47e1-aef1-4ee835e26ce2,eZ - bar
8d2c5da4-e550-4c81-a20f-b5c6d37b9b56,foam roll
ab3037fd-64ff-4dc0-8a84-db52ab3d9490,kettlebell
da868346-507a-483c-a4a8-351cbfd9ed18,machine - Cardio
371a9113-94b8-4d4e-9cac-725859ea9af4,machine - Strength
26c7a3d4-9f27-4249-9b33-96a9e6512014,other
4de4ea67-a4bd-448b-8e4a-68cfce4248a2,pullup bar
46557836-4888-481a-8a61-63318f7758c3,weight plate
